"start" "end" "width" "strand" "gene"
"1" 446 1123 678 "+" "SCO0001"
"2" 1252 3813 2562 "+" "SCO0002"
"3" 3869 6220 2352 "+" "SCO0003"
"4" 6226 7173 948 "+" "SCO0004"
"5" 7187 9307 2121 "+" "SCO0005"
"6" 9304 10410 1107 "+" "SCO0006"
"7" 10554 11000 447 "-" "SCO0007"
"8" 11010 11360 351 "-" "SCO0008"
"9" 11617 11952 336 "-" "SCO0009"
"10" 12366 13457 1092 "+" "SCO0010"
"11" 13214 14023 810 "-" "SCO0011"
"12" 14044 14454 411 "-" "SCO0012"
"13" 14739 15029 291 "-" "SCO0013"
"14" 15317 15595 279 "-" "SCO0014"
"15" 16070 17302 1233 "-" "SCO0015"
"16" 17715 17918 204 "+" "SCO0016"
"17" 17919 18263 345 "+" "SCO0017"
"18" 18485 19351 867 "-" "SCO0018"
"19" 19517 19771 255 "-" "SCO0019"
"20" 19974 21620 1647 "+" "SCO0020"
"21" 21617 22210 594 "+" "SCO0021"
"22" 22843 23061 219 "+" "SCO0025"
"23" 23316 23831 516 "+" "SCO0026"
"24" 23977 24345 369 "-" "SCO0027"
"25" 24378 24521 144 "-" "SCO0028"
"26" 24644 24943 300 "+" "SCO0029"
"27" 25251 25871 621 "+" "SCO0030"
"28" 25843 26385 543 "-" "SCO0031"
"29" 26393 26452 60 "-" "SCO0032"
"30" 26527 28773 2247 "-" "SCO0033"
"31" 29040 29519 480 "+" "SCO0034"
"32" 29605 30054 450 "-" "SCO0035"
"33" 30116 30355 240 "-" "SCO0036"
"34" 30379 31131 753 "-" "SCO0037"
"35" 31146 31274 129 "-" "SCO0038"
"36" 31520 32137 618 "+" "SCO0039"
"37" 32134 33357 1224 "+" "SCO0040"
"38" 33360 33845 486 "+" "SCO0041"
"39" 33842 34777 936 "+" "SCO0042"
"40" 35179 35907 729 "-" "SCO0043"
"41" 36006 36674 669 "-" "SCO0044"
"42" 36689 36817 129 "-" "SCO0045"
"43" 36816 37478 663 "+" "SCO0046"
"44" 37614 38768 1155 "-" "SCO0047"
"45" 39107 39490 384 "-" "SCO0048"
"46" 39489 39812 324 "+" "SCO0049"
"47" 39877 40212 336 "+" "SCO0050"
"48" 40223 40918 696 "-" "SCO0051"
"49" 41354 42174 821 "+" "SCO0053"
"50" 42171 43682 1512 "-" "SCO0055"
"51" 43768 43857 90 "+" "SCO0056"
"52" 43950 44090 141 "+" "SCO0057"
"53" 44253 44975 723 "+" "SCO0058"
"54" 45267 46073 807 "+" "SCO0059"
"55" 46064 46201 138 "+" "SCO0060"
"56" 46430 47734 1305 "-" "SCO0061"
"57" 47789 48892 1104 "-" "SCO0062"
"58" 48889 49824 936 "-" "SCO0063"
"59" 49821 51539 1719 "-" "SCO0064"
"60" 51831 53144 1314 "+" "SCO0065"
"61" 53141 54100 960 "+" "SCO0066"
"62" 54097 54918 822 "+" "SCO0067"
"63" 54968 56173 1206 "+" "SCO0068"
"64" 56225 59383 3159 "+" "SCO0069"
"65" 59558 60241 684 "+" "SCO0070"
"66" 60069 60275 207 "-" "SCO0071"
"67" 60740 64093 3354 "-" "SCO0072"
"68" 64605 64925 321 "+" "SCO0073"
"69" 64994 65092 99 "+" "SCO0074"
"70" 65092 65679 588 "+" "SCO0075"
"71" 65627 66535 909 "-" "SCO0076"
"72" 66688 67911 1224 "-" "SCO0079"
"73" 68372 68887 516 "+" "SCO0080"
"74" 68914 69647 734 "-" "SCO0081"
"75" 69799 70647 849 "+" "SCO0083"
"76" 70777 71235 459 "+" "SCO0084"
"77" 71648 72139 492 "-" "SCO0085"
"78" 72159 73097 939 "-" "SCO0086"
"79" 73784 74833 1050 "-" "SCO0087"
"80" 74917 75876 960 "-" "SCO0088"
"81" 75856 76893 1038 "+" "SCO0089"
"82" 77315 78271 957 "+" "SCO0091"
"83" 78489 78815 327 "-" "SCO0092"
"84" 78983 79702 720 "-" "SCO0095"
"85" 79839 80690 852 "-" "SCO0096"
"86" 80845 81165 321 "-" "SCO0097"
"87" 81602 82441 840 "-" "SCO0098"
"88" 82710 83518 809 "+" "SCO0099"
"89" 83516 84259 744 "-" "SCO0101"
"90" 84893 85339 447 "+" "SCO0102"
"91" 85336 86643 1308 "+" "SCO0103"
"92" 86640 87311 672 "+" "SCO0104"
"93" 87907 88632 726 "-" "SCO0105"
"94" 89073 89465 393 "+" "SCO0106"
"95" 89486 90043 558 "-" "SCO0107"
"96" 90242 90391 150 "+" "SCO0108"
"97" 90395 90865 471 "-" "SCO0109"
"98" 90951 91790 840 "-" "SCO0110"
"99" 91977 92729 753 "+" "SCO0111"
"100" 92696 92698 3 "+" "none"
"101" 92773 92928 156 "-" "SCO0112"
"102" 92961 93257 297 "+" "SCO0113"
"103" 93292 93549 258 "-" "SCO0114"
"104" 93593 94117 525 "-" "SCO0114"
"105" 94306 94872 567 "-" "SCO0116"
"106" 94989 95681 693 "+" "SCO0117"
"107" 95989 97518 1530 "+" "SCO0118"
"108" 97760 98281 522 "-" "SCO0119"
"109" 98463 99338 876 "-" "SCO0120"
"110" 99335 99949 615 "-" "SCO0121"
"111" 100190 101566 1377 "+" "SCO0122"
"112" 101656 103002 1347 "-" "SCO0123"
"113" 103628 104989 1362 "+" "SCO0124"
"114" 105057 106640 1584 "+" "SCO0125"
"115" 106637 112885 6249 "+" "SCO0126"
"116" 112932 119654 6723 "+" "SCO0127"
"117" 119651 119833 183 "+" "SCO0128"
"118" 119841 120215 375 "+" "SCO0129"
"119" 120457 121371 915 "+" "SCO0130"
"120" 121617 122456 840 "-" "SCO0131"
"121" 122743 125502 2760 "+" "SCO0132"
"122" 125625 126005 381 "-" "SCO0133"
"123" 126989 127294 306 "-" "SCO0134"
"124" 127571 128290 720 "+" "SCO0135"
"125" 128634 130184 1551 "-" "SCO0136"
"126" 130201 131001 801 "-" "SCO0137"
"127" 131523 132296 774 "+" "SCO0138"
"128" 132327 132647 321 "+" "SCO0139"
"129" 132693 133520 828 "+" "SCO0140"
"130" 133570 134121 552 "-" "SCO0141"
"131" 134295 136100 1806 "-" "SCO0142"
"132" 136647 137183 537 "+" "SCO0143"
"133" 137197 137556 360 "+" "SCO0144"
"134" 137561 138589 1029 "+" "SCO0145"
"135" 138618 138761 144 "-" "SCO0146"
"136" 138976 139467 492 "+" "SCO0147"
"137" 139467 139712 246 "+" "SCO0148"
"138" 139703 140299 597 "-" "SCO0149"
"139" 140368 140862 495 "+" "SCO0150"
"140" 141370 141708 339 "+" "SCO0151"
"141" 141705 143315 1611 "+" "SCO0152"
"142" 143776 144363 588 "-" "SCO0153"
"143" 144704 145366 663 "-" "SCO0154"
"144" 145499 146122 624 "+" "SCO0155"
"145" 146034 146351 318 "-" "SCO0156"
"146" 146603 146980 378 "+" "SCO0157"
"147" 146977 148206 1230 "+" "SCO0158"
"148" 148216 149184 969 "+" "SCO0159"
"149" 149508 150209 702 "-" "SCO0160"
"150" 150181 150525 345 "-" "SCO0161"
"151" 150579 151571 993 "+" "SCO0162"
"152" 151749 153275 1527 "+" "SCO0163"
"153" 153398 155728 2331 "+" "SCO0164"
"154" 155707 156120 414 "-" "SCO0165"
"155" 156338 157141 804 "+" "SCO0166"
"156" 157189 158073 885 "-" "SCO0167"
"157" 158732 159304 573 "+" "SCO0168"
"158" 159372 160025 654 "+" "SCO0169"
"159" 160356 161027 672 "-" "SCO0170"
"160" 161237 162553 1317 "+" "SCO0171"
"161" 162661 163119 459 "+" "SCO0172"
"162" 163235 164017 783 "-" "SCO0173"
"163" 164023 164994 972 "-" "SCO0174"
"164" 165059 165406 348 "-" "SCO0175"
"165" 165460 165855 396 "+" "SCO0176"
"166" 166033 166614 582 "+" "SCO0177"
"167" 166891 167337 447 "+" "SCO0178"
"168" 167444 168514 1071 "-" "SCO0179"
"169" 168705 169556 852 "-" "SCO0180"
"170" 169584 170570 987 "-" "SCO0181"
"171" 170656 170880 225 "-" "SCO0182"
"172" 170911 172158 1248 "+" "SCO0183"
"173" 172170 173984 1815 "+" "SCO0184"
"174" 173768 174946 1179 "+" "SCO0185"
"175" 174943 176514 1572 "+" "SCO0186"
"176" 176501 177496 996 "+" "SCO0187"
"177" 177493 178503 1011 "+" "SCO0188"
"178" 178519 180087 1569 "-" "SCO0189"
"179" 180084 180824 741 "-" "SCO0190"
"180" 180821 182038 1218 "-" "SCO0191"
"181" 182309 183559 1251 "-" "SCO0192"
"182" 183793 184797 1005 "-" "SCO0193"
"183" 184958 185566 609 "+" "SCO0194"
"184" 185675 186361 687 "+" "SCO0195"
"185" 186483 186887 405 "+" "SCO0196"
"186" 187019 187459 441 "-" "SCO0197"
"187" 187992 188858 867 "-" "SCO0198"
"188" 188864 189886 1023 "-" "SCO0199"
"189" 189925 190830 906 "-" "SCO0200"
"190" 190983 191654 672 "-" "SCO0201"
"191" 191919 192848 930 "+" "SCO0202"
"192" 192880 194637 1758 "-" "SCO0203"
"193" 194760 195461 702 "-" "SCO0204"
"194" 195554 196280 727 "-" "SCO0205"
"195" 196306 196443 138 "-" "SCO0206"
"196" 196386 196991 606 "-" "SCO0207"
"197" 197221 199917 2697 "+" "SCO0208"
"198" 200024 200428 405 "+" "SCO0209"
"199" 200728 201369 642 "+" "SCO0210"
"200" 201374 202090 717 "+" "SCO0211"
"201" 202370 202843 474 "-" "SCO0212"
"202" 202863 204101 1239 "-" "SCO0213"
"203" 204387 204800 414 "+" "SCO0214"
"204" 204881 205888 1008 "-" "SCO0215"
"205" 206480 210181 3702 "+" "SCO0216"
"206" 210183 211751 1569 "+" "SCO0217"
"207" 211748 212551 804 "+" "SCO0218"
"208" 212551 213321 771 "+" "SCO0219"
"209" 213427 213870 444 "+" "SCO0220"
"210" 214913 215446 534 "+" "SCO0222"
"211" 215443 215559 117 "+" "SCO0223"
"212" 215807 216844 1038 "-" "SCO0224"
"213" 216834 217268 435 "-" "SCO0225"
"214" 217315 218019 705 "-" "SCO0226"
"215" 218418 218780 363 "-" "SCO0227"
"216" 218973 219059 87 "+" "SCO0228"
"217" 219302 220150 849 "+" "SCO0229"
"218" 220150 220764 615 "+" "SCO0230"
"219" 221092 221247 156 "-" "SCO0231"
"220" 221414 221599 186 "-" "SCO0232"
"221" 221699 222538 840 "-" "SCO0233"
"222" 222827 223288 462 "+" "SCO0234"
"223" 223294 224232 939 "+" "SCO0235"
"224" 224404 225276 873 "-" "SCO0236"
"225" 225476 226237 762 "+" "SCO0237"
"226" 226481 227008 528 "+" "SCO0238"
"227" 227081 228154 1074 "-" "SCO0239"
"228" 228714 229649 936 "-" "SCO0240"
"229" 229995 230669 675 "+" "SCO0241"
"230" 231022 231465 444 "+" "SCO0242"
"231" 231475 231654 180 "+" "SCO0243"
"232" 232508 233518 1011 "+" "SCO0244"
"233" 233854 234873 1020 "-" "SCO0245"
"234" 234870 236207 1338 "-" "SCO0246"
"235" 236782 237807 1026 "+" "SCO0247"
"236" 237664 238251 588 "-" "SCO0248"
"237" 238280 239794 1515 "-" "SCO0249"
"238" 239858 240523 666 "+" "SCO0250"
"239" 240559 240843 285 "-" "SCO0251"
"240" 240876 242123 1248 "-" "SCO0252"
"241" 242194 242766 573 "+" "SCO0253"
"242" 243022 243762 741 "-" "SCO0254"
"243" 243936 245672 1737 "-" "SCO0255"
"244" 245986 246783 798 "+" "SCO0256"
"245" 246868 247869 1002 "+" "SCO0257"
"246" 247871 248680 810 "+" "SCO0258"
"247" 248677 249702 1026 "+" "SCO0259"
"248" 249755 250084 330 "+" "SCO0260"
"249" 250164 250691 528 "-" "SCO0261"
"250" 250805 251740 936 "+" "SCO0262"
"251" 251764 252879 1116 "-" "SCO0263"
"252" 252401 252403 3 "-" "none"
"253" 252946 253398 453 "+" "SCO0264"
"254" 253499 254290 792 "+" "SCO0265"
"255" 254332 255309 978 "-" "SCO0266"
"256" 255311 256087 777 "+" "SCO0267"
"257" 256281 256442 162 "+" "SCO0268"
"258" 256526 259687 3162 "+" "SCO0269"
"259" 259684 261084 1401 "+" "SCO0270"
"260" 261366 262319 954 "+" "SCO0271"
"261" 262330 263220 891 "+" "SCO0272"
